Word;Score
abating;1
augmented;1
booming;1
elevating;1
extended;1
growing;1
improvement;1
increasing;1
recovering;1
rose;1
spikes;1
strengthened;1
up;1
accelerated;1
balanced;1
boost;1
expand;1
fast;1
heightened;1
improving;1
more;1
rise;1
significant;1
spiking;1
strengthens;1
upside;1
add;1
better;1
boosted;1
expanding;1
faster;1
high;1
increase;1
raise;1
risen;1
solid;1
stable;1
strong;1
upswing;1
advance;1
bolsters;1
eased;1
expansionary;1
firmer;1
higher;1
increased;1
rapid;1
rising;1
sooner;1
strength;1
stronger;1
uptick;1
advanced;1
boom;1
elevated;1
extend;1
gains;1
improved;1
increases;1
rebounded;1
robust;1
spike;1
strengthen;1
supportive;1
adverse;-1
contracting;-1
dampening;-1
declining;-1
depressed;-1
dislocation;-1
drop;-1
faded;-1
fell;-1
lower;-1
reduced;-1
restrained;-1
slack;-1
slowly;-1
softened;-1
stress;-1
volatile;-1
weaker;-1
back;-1
contraction;-1
decelerated;-1
decrease;-1
deteriorated;-1
disruptions;-1
dropping;-1
fading;-1
insufficient;-1
moderated;-1
reduction;-1
restraining;-1
slow;-1
sluggish;-1
softening;-1
subdued;-1
vulnerable;-1
weakness;-1
below;-1
cooling;-1
decline;-1
decreases;-1
deterioration;-1
down;-1
ebbed;-1
fall;-1
less;-1
moderating;-1
reluctant;-1
restraint;-1
slowed;-1
sluggishness;-1
stimulate;-1
tragic;-1
wary;-1
constrained;-1
correction;-1
declined;-1
decreasing;-1
diminished;-1
downbeat;-1
erosion;-1
fallen;-1
limit;-1
moderation;-1
removed;-1
resumption;-1
slower;-1
slumped;-1
strained;-1
turmoil;-1
weak;-1
contract;-1
dampen;-1
declines;-1
deepening;-1
disappointing;-1
downside;-1
fade;-1
falling;-1
low;-1
reduce;-1
restrain;-1
reversed;-1
slowing;-1
soft;-1
strains;-1
underutilisation;-1
weakened;-1